cidade;preco;vencimento;moeda;cultura;fator_valorizacao
SELECIONE A PRAA DESEJADA;-;30/05/2025;REAIS R$;SOJA;1
AGUA BOA-MT;101.54;30/05/2025;REAIS R$;SOJA;1
RONDONOPOLIS-MT;106.38;30/05/2025;REAIS R$;SOJA;1
CAMPO NOVO PARECIS-MT;99.61;30/05/2025;REAIS R$;SOJA;1
SORRISO-MT;98.64;30/05/2025;REAIS R$;SOJA;1
JUARA-MT;97.42;30/05/2025;REAIS R$;SOJA;1
BRASNORTE-MT;97.52;30/05/2025;REAIS R$;SOJA;1
SINOP-MT;97.62;30/05/2025;REAIS R$;SOJA;1
QUERENCIA-MT;97.84;30/05/2025;REAIS R$;SOJA;1
PRIMAVERA DO LESTE-MT;103.67;30/05/2025;REAIS R$;SOJA;1
NOVA MUTUM-MT;102.51;30/05/2025;REAIS R$;SOJA;1
CANARANA-MT;100.08;30/05/2025;REAIS R$;SOJA;1
SÇO GABRIEL-MT;114.62;30/05/2025;REAIS R$;SOJA;1
DOURADOS-MS;116.07;30/05/2025;REAIS R$;SOJA;1
CRUZ ALTA-RS;123.96;30/05/2025;REAIS R$;SOJA;1
SANTA MARIA-RS;124.80;30/05/2025;REAIS R$;SOJA;1
VILHENA-RO;111.15;30/05/2025;REAIS R$;SOJA;1
CAMPO MOURAO-PR;123.05;30/05/2025;REAIS R$;SOJA;1
CASCAVEL-PR;123.57;30/05/2025;REAIS R$;SOJA;1
LUIS EDUARDO MAGALHAES-BA;110.18;30/05/2025;REAIS R$;SOJA;1
BARREIRAS-BA;110.18;30/05/2025;REAIS R$;SOJA;1
PARAGOMINAS-PA;111.64;30/05/2025;REAIS R$;SOJA;1
TAIL¶NDIA-PA;112.61;30/05/2025;REAIS R$;SOJA;1
DOM ELISEU-PA;110.18;30/05/2025;REAIS R$;SOJA;1
RONDON DO PARµ-PA;109.69;30/05/2025;REAIS R$;SOJA;1
AAIL¶NDIA-MA;108.71;30/05/2025;REAIS R$;SOJA;1
SELECIONE A PRAA DESEJADA;-;30/06/2025;REAIS R$;SOJA;1
AGUA BOA-MT;106.94;30/06/2025;REAIS R$;SOJA;1
RONDONOPOLIS-MT;111.00;30/06/2025;REAIS R$;SOJA;1
CAMPO NOVO PARECIS-MT;104.55;30/06/2025;REAIS R$;SOJA;1
SORRISO-MT;104.34;30/06/2025;REAIS R$;SOJA;1
JUARA-MT;103.74;30/06/2025;REAIS R$;SOJA;1
BRASNORTE-MT;103.84;30/06/2025;REAIS R$;SOJA;1
SINOP-MT;104.03;30/06/2025;REAIS R$;SOJA;1
QUERENCIA-MT;104.44;30/06/2025;REAIS R$;SOJA;1
PRIMAVERA DO LESTE-MT;109.29;30/06/2025;REAIS R$;SOJA;1
NOVA MUTUM-MT;105.89;30/06/2025;REAIS R$;SOJA;1
CANARANA-MT;102.99;30/06/2025;REAIS R$;SOJA;1
SÇO GABRIEL-MT;116.56;30/06/2025;REAIS R$;SOJA;1
DOURADOS-MS;119.47;30/06/2025;REAIS R$;SOJA;1
CRUZ ALTA-RS;127.46;30/06/2025;REAIS R$;SOJA;1
SANTA MARIA-RS;128.21;30/06/2025;REAIS R$;SOJA;1
VILHENA-RO;113.10;30/06/2025;REAIS R$;SOJA;1
CAMPO MOURAO-PR;127.73;30/06/2025;REAIS R$;SOJA;1
CASCAVEL-PR;128.21;30/06/2025;REAIS R$;SOJA;1
LUIS EDUARDO MAGALHAES-BA;114.08;30/06/2025;REAIS R$;SOJA;1
BARREIRAS-BA;114.08;30/06/2025;REAIS R$;SOJA;1
PARAGOMINAS-PA;112.61;30/06/2025;REAIS R$;SOJA;1
TAIL¶NDIA-PA;113.59;30/06/2025;REAIS R$;SOJA;1
DOM ELISEU-PA;111.15;30/06/2025;REAIS R$;SOJA;1
RONDON DO PARµ-PA;110.66;30/06/2025;REAIS R$;SOJA;1
AAIL¶NDIA-MA;109.69;30/06/2025;REAIS R$;SOJA;1
SELECIONE A PRAA DESEJADA;-;30/04/2026;REAIS R$;SOJA;1
AGUA BOA-MT;107.35;30/04/2026;REAIS R$;SOJA;1
RONDONOPOLIS-MT;111.22;30/04/2026;REAIS R$;SOJA;1
CAMPO NOVO PARECIS-MT;106.38;30/04/2026;REAIS R$;SOJA;1
SORRISO-MT;106.28;30/04/2026;REAIS R$;SOJA;1
