moeda,preco,cidade,cultura,vencimento
Real,101.5365,AGUA BOA-MT,SOJA,30/05/2025
Real,106.38225,RONDONOPOLIS-MT,SOJA,30/05/2025
Real,99.606,CAMPO NOVO PARECIS-MT,SOJA,30/05/2025
Real,98.64075,SORRISO-MT,SOJA,30/05/2025
Real,97.422,JUARA-MT,SOJA,30/05/2025
Real,97.5195,BRASNORTE-MT,SOJA,30/05/2025
Real,97.617,SINOP-MT,SOJA,30/05/2025
Real,97.84124999999999,QUERENCIA-MT,SOJA,30/05/2025
Real,103.67175,PRIMAVERA DO LESTE-MT,SOJA,30/05/2025
Real,102.5115,NOVA MUTUM-MT,SOJA,30/05/2025
Real,100.08375000000001,CANARANA-MT,SOJA,30/05/2025
Real,114.62100000000001,SÃO GABRIEL-MT,SOJA,30/05/2025
Real,116.07374999999999,DOURADOS-MS,SOJA,30/05/2025
Real,123.9615,CRUZ ALTA-RS,SOJA,30/05/2025
Real,124.8,SANTA MARIA-RS,SOJA,30/05/2025
Real,111.15,VILHENA-RO,SOJA,30/05/2025
Real,123.05475,CAMPO MOURAO-PR,SOJA,30/05/2025
Real,123.5715,CASCAVEL-PR,SOJA,30/05/2025
Real,110.175,LUIS EDUARDO MAGALHAES-BA,SOJA,30/05/2025
Real,110.175,BARREIRAS-BA,SOJA,30/05/2025
Real,111.6375,PARAGOMINAS-PA,SOJA,30/05/2025
Real,112.6125,TAILÂNDIA-PA,SOJA,30/05/2025
Real,110.175,DOM ELISEU-PA,SOJA,30/05/2025
Real,109.6875,RONDON DO PARÁ-PA,SOJA,30/05/2025
Real,108.7125,AÇAILÂNDIA-MA,SOJA,30/05/2025
Real,106.938,AGUA BOA-MT,SOJA,30/06/2025
Real,111.00375,RONDONOPOLIS-MT,SOJA,30/06/2025
Real,104.54925,CAMPO NOVO PARECIS-MT,SOJA,30/06/2025
Real,104.3445,SORRISO-MT,SOJA,30/06/2025
Real,103.74000000000001,JUARA-MT,SOJA,30/06/2025
Real,103.8375,BRASNORTE-MT,SOJA,30/06/2025
Real,104.0325,SINOP-MT,SOJA,30/06/2025
Real,104.44200000000001,QUERENCIA-MT,SOJA,30/06/2025
Real,109.28775,PRIMAVERA DO LESTE-MT,SOJA,30/06/2025
Real,105.89475,NOVA MUTUM-MT,SOJA,30/06/2025
Real,102.98925,CANARANA-MT,SOJA,30/06/2025
Real,116.56125,SÃO GABRIEL-MT,SOJA,30/06/2025
Real,119.46675,DOURADOS-MS,SOJA,30/06/2025
Real,127.46175,CRUZ ALTA-RS,SOJA,30/06/2025
Real,128.2125,SANTA MARIA-RS,SOJA,30/06/2025
Real,113.1,VILHENA-RO,SOJA,30/06/2025
Real,127.725,CAMPO MOURAO-PR,SOJA,30/06/2025
Real,128.2125,CASCAVEL-PR,SOJA,30/06/2025
Real,114.075,LUIS EDUARDO MAGALHAES-BA,SOJA,30/06/2025
Real,114.075,BARREIRAS-BA,SOJA,30/06/2025
Real,112.6125,PARAGOMINAS-PA,SOJA,30/06/2025
Real,113.5875,TAILÂNDIA-PA,SOJA,30/06/2025
Real,111.15,DOM ELISEU-PA,SOJA,30/06/2025
Real,110.6625,RONDON DO PARÁ-PA,SOJA,30/06/2025
Real,109.6875,AÇAILÂNDIA-MA,SOJA,30/06/2025
Real,107.3475,AGUA BOA-MT,SOJA,30/04/2026
Real,111.21825,RONDONOPOLIS-MT,SOJA,30/04/2026
Real,106.38225,CAMPO NOVO PARECIS-MT,SOJA,30/04/2026
Real,106.275,SORRISO-MT,SOJA,30/04/2026
Real,104.832,JUARA-MT,SOJA,30/04/2026
Real,104.9295,BRASNORTE-MT,SOJA,30/04/2026
Real,106.18724999999999,SINOP-MT,SOJA,30/04/2026
Real,107.3475,QUERENCIA-MT,SOJA,30/04/2026
Real,110.253,PRIMAVERA DO LESTE-MT,SOJA,30/04/2026
Real,107.835,NOVA MUTUM-MT,SOJA,30/04/2026
Real,106.38225,CANARANA-MT,SOJA,30/04/2026
Real,117.47775,SÃO GABRIEL-MT,SOJA,30/04/2026
Real,120.38325,DOURADOS-MS,SOJA,30/04/2026
Real,127.725,CRUZ ALTA-RS,SOJA,30/04/2026
Real,129.1875,SANTA MARIA-RS,SOJA,30/04/2026
Real,109.6875,VILHENA-RO,SOJA,30/04/2026
Real,125.775,CAMPO MOURAO-PR,SOJA,30/04/2026
Real,126.2625,CASCAVEL-PR,SOJA,30/04/2026
Real,117.0,LUIS EDUARDO MAGALHAES-BA,SOJA,30/04/2026
Real,117.0,BARREIRAS-BA,SOJA,30/04/2026
Real,116.5125,PARAGOMINAS-PA,SOJA,30/04/2026
Real,118.4625,TAILÂNDIA-PA,SOJA,30/04/2026
Real,115.5375,DOM ELISEU-PA,SOJA,30/04/2026
Real,114.5625,RONDON DO PARÁ-PA,SOJA,30/04/2026
Real,113.5875,AÇAILÂNDIA-MA,SOJA,30/04/2026
Real,108.32249999999999,AGUA BOA-MT,SOJA,30/05/2026
Real,112.19324999999999,RONDONOPOLIS-MT,SOJA,30/05/2026
Real,107.3475,CAMPO NOVO PARECIS-MT,SOJA,30/05/2026
Real,107.29875,SORRISO-MT,SOJA,30/05/2026
Real,106.77225,JUARA-MT,SOJA,30/05/2026
Real,106.86975,BRASNORTE-MT,SOJA,30/05/2026
Real,107.05499999999999,SINOP-MT,SOJA,30/05/2026
Real,108.32249999999999,QUERENCIA-MT,SOJA,30/05/2026
Real,111.21825,PRIMAVERA DO LESTE-MT,SOJA,30/05/2026
Real,108.80025,NOVA MUTUM-MT,SOJA,30/05/2026
Real,106.86975,CANARANA-MT,SOJA,30/05/2026
Real,119.418,SÃO GABRIEL-MT,SOJA,30/05/2026
Real,122.31375,DOURADOS-MS,SOJA,30/05/2026
Real,128.7,CRUZ ALTA-RS,SOJA,30/05/2026
Real,129.675,SANTA MARIA-RS,SOJA,30/05/2026
Real,110.175,VILHENA-RO,SOJA,30/05/2026
Real,126.75,CAMPO MOURAO-PR,SOJA,30/05/2026
Real,127.2375,CASCAVEL-PR,SOJA,30/05/2026
Real,117.975,LUIS EDUARDO MAGALHAES-BA,SOJA,30/05/2026
Real,117.975,BARREIRAS-BA,SOJA,30/05/2026
Real,117.4875,PARAGOMINAS-PA,SOJA,30/05/2026
Real,119.4375,TAILÂNDIA-PA,SOJA,30/05/2026
Real,116.5125,DOM ELISEU-PA,SOJA,30/05/2026
Real,115.5375,RONDON DO PARÁ-PA,SOJA,30/05/2026
Real,114.5625,AÇAILÂNDIA-MA,SOJA,30/05/2026
Dólar,17.416209262435675,AGUA BOA-MT,SOJA,30/05/2025
Dólar,18.24738421955403,RONDONOPOLIS-MT,SOJA,30/05/2025
Dólar,17.08507718696398,CAMPO NOVO PARECIS-MT,SOJA,30/05/2025
Dólar,16.91951114922813,SORRISO-MT,SOJA,30/05/2025
Dólar,16.710463121783878,JUARA-MT,SOJA,30/05/2025
Dólar,16.727186963979417,BRASNORTE-MT,SOJA,30/05/2025
Dólar,16.74391080617496,SINOP-MT,SOJA,30/05/2025
Dólar,16.782375643224697,QUERENCIA-MT,SOJA,30/05/2025
Dólar,17.78246140651801,PRIMAVERA DO LESTE-MT,SOJA,30/05/2025
Dólar,17.583447684391082,NOVA MUTUM-MT,SOJA,30/05/2025
Dólar,17.167024013722127,CANARANA-MT,SOJA,30/05/2025
