moeda,preco,Cidade,cultura,vencimento
Real,101.54,"AGUA BOA-MT",Soja,30/05/2025
Real,106.38,RONDONOPOLIS-MT,Soja,30/05/2025
Real,99.61,"CAMPO NOVO PARECIS-MT",Soja,30/05/2025
Real,98.64,SORRISO-MT,Soja,30/05/2025
Real,97.42,JUARA-MT,Soja,30/05/2025
Real,97.52,BRASNORTE-MT,Soja,30/05/2025
Real,97.62,SINOP-MT,Soja,30/05/2025
Real,97.84,QUERENCIA-MT,Soja,30/05/2025
Real,103.67,"PRIMAVERA DO LESTE-MT",Soja,30/05/2025
Real,102.51,"NOVA MUTUM-MT",Soja,30/05/2025
Real,100.08,CANARANA-MT,Soja,30/05/2025
Real,114.62,"SÃO GABRIEL-MT",Soja,30/05/2025
Real,116.07,DOURADOS-MS,Soja,30/05/2025
Real,123.96,"CRUZ ALTA-RS",Soja,30/05/2025
Real,124.80,"SANTA MARIA-RS",Soja,30/05/2025
Real,111.15,VILHENA-RO,Soja,30/05/2025
Real,123.05,"CAMPO MOURAO-PR",Soja,30/05/2025
Real,123.57,CASCAVEL-PR,Soja,30/05/2025
Real,110.18,"LUIS EDUARDO MAGALHAES-BA",Soja,30/05/2025
Real,110.18,BARREIRAS-BA,Soja,30/05/2025
Real,111.64,PARAGOMINAS-PA,Soja,30/05/2025
Real,112.61,TAILÂNDIA-PA,Soja,30/05/2025
Real,110.18,"DOM ELISEU-PA",Soja,30/05/2025
Real,109.69,"RONDON DO PARÁ-PA",Soja,30/05/2025
Real,108.71,AÇAILÂNDIA-MA,Soja,30/05/2025
Real,106.94,"AGUA BOA-MT",Soja,30/06/2025
Real,111.00,RONDONOPOLIS-MT,Soja,30/06/2025
Real,104.55,"CAMPO NOVO PARECIS-MT",Soja,30/06/2025
Real,104.34,SORRISO-MT,Soja,30/06/2025
Real,103.74,JUARA-MT,Soja,30/06/2025
Real,103.84,BRASNORTE-MT,Soja,30/06/2025
Real,104.03,SINOP-MT,Soja,30/06/2025
Real,104.44,QUERENCIA-MT,Soja,30/06/2025
Real,109.29,"PRIMAVERA DO LESTE-MT",Soja,30/06/2025
Real,105.89,"NOVA MUTUM-MT",Soja,30/06/2025
Real,102.99,CANARANA-MT,Soja,30/06/2025
Real,116.56,"SÃO GABRIEL-MT",Soja,30/06/2025
Real,119.47,DOURADOS-MS,Soja,30/06/2025
Real,127.46,"CRUZ ALTA-RS",Soja,30/06/2025
Real,128.21,"SANTA MARIA-RS",Soja,30/06/2025
Real,113.10,VILHENA-RO,Soja,30/06/2025
Real,127.73,"CAMPO MOURAO-PR",Soja,30/06/2025
