PRAÇA;PREÇO;VENCIMENTO;MOEDA;CULTURA
SELECIONE A PRAÇA DESEJADA;R$ 0,00;30/05/2025;Real;SOJA
AGUA BOA-MT;R$ 101,54;30/05/2025;Real;SOJA
RONDONOPOLIS-MT;R$ 106,38;30/05/2025;Real;SOJA
CAMPO NOVO PARECIS-MT;R$ 99,61;30/05/2025;Real;SOJA
SORRISO-MT;R$ 98,64;30/05/2025;Real;SOJA
JUARA-MT;R$ 97,42;30/05/2025;Real;SOJA
BRASNORTE-MT;R$ 97,52;30/05/2025;Real;SOJA
SINOP-MT;R$ 97,62;30/05/2025;Real;SOJA
QUERENCIA-MT;R$ 97,84;30/05/2025;Real;SOJA
PRIMAVERA DO LESTE-MT;R$ 103,67;30/05/2025;Real;SOJA
NOVA MUTUM-MT;R$ 102,51;30/05/2025;Real;SOJA
CANARANA-MT;R$ 100,08;30/05/2025;Real;SOJA
SÃO GABRIEL-MT;R$ 114,62;30/05/2025;Real;SOJA
DOURADOS-MS;R$ 116,07;30/05/2025;Real;SOJA
CRUZ ALTA-RS;R$ 123,96;30/05/2025;Real;SOJA
SANTA MARIA-RS;R$ 124,80;30/05/2025;Real;SOJA
VILHENA-RO;R$ 111,15;30/05/2025;Real;SOJA
CAMPO MOURAO-PR;R$ 123,05;30/05/2025;Real;SOJA
CASCAVEL-PR;R$ 123,57;30/05/2025;Real;SOJA
LUIS EDUARDO MAGALHAES-BA;R$ 110,17;30/05/2025;Real;SOJA
BARREIRAS-BA;R$ 110,17;30/05/2025;Real;SOJA
PARAGOMINAS-PA;R$ 111,64;30/05/2025;Real;SOJA
TAILÂNDIA-PA;R$ 112,61;30/05/2025;Real;SOJA
DOM ELISEU-PA;R$ 110,17;30/05/2025;Real;SOJA
RONDON DO PARÁ-PA;R$ 109,69;30/05/2025;Real;SOJA
AÇAILÂNDIA-MA;R$ 108,71;30/05/2025;Real;SOJA
SELECIONE A PRAÇA DESEJADA;R$ 0,00;30/06/2025;Real;SOJA
AGUA BOA-MT;R$ 106,94;30/06/2025;Real;SOJA
RONDONOPOLIS-MT;R$ 111,00;30/06/2025;Real;SOJA
CAMPO NOVO PARECIS-MT;R$ 104,55;30/06/2025;Real;SOJA
SORRISO-MT;R$ 104,34;30/06/2025;Real;SOJA
JUARA-MT;R$ 103,74;30/06/2025;Real;SOJA
BRASNORTE-MT;R$ 103,84;30/06/2025;Real;SOJA
SINOP-MT;R$ 104,03;30/06/2025;Real;SOJA
QUERENCIA-MT;R$ 104,44;30/06/2025;Real;SOJA
PRIMAVERA DO LESTE-MT;R$ 109,29;30/06/2025;Real;SOJA
NOVA MUTUM-MT;R$ 105,89;30/06/2025;Real;SOJA
CANARANA-MT;R$ 102,99;30/06/2025;Real;SOJA
SÃO GABRIEL-MT;R$ 116,56;30/06/2025;Real;SOJA
DOURADOS-MS;R$ 119,47;30/06/2025;Real;SOJA
CRUZ ALTA-RS;R$ 127,46;30/06/2025;Real;SOJA
SANTA MARIA-RS;R$ 128,21;30/06/2025;Real;SOJA
VILHENA-RO;R$ 113,10;30/06/2025;Real;SOJA
CAMPO MOURAO-PR;R$ 127,72;30/06/2025;Real;SOJA
CASCAVEL-PR;R$ 128,21;30/06/2025;Real;SOJA
LUIS EDUARDO MAGALHAES-BA;R$ 114,08;30/06/2025;Real;SOJA
BARREIRAS-BA;R$ 114,08;30/06/2025;Real;SOJA
PARAGOMINAS-PA;R$ 112,61;30/06/2025;Real;SOJA
TAILÂNDIA-PA;R$ 113,59;30/06/2025;Real;SOJA
DOM ELISEU-PA;R$ 111,15;30/06/2025;Real;SOJA
